CandidateVectorId,EquivalenceClassId,RepresentativeVectorId,Retained,EquivalenceSignatureSha256,EquivalenceSignature,MessageAlias,Scenario,StateBefore,VectorType,Perturbation,ConfigHash,RequirementId,CoverageObligations,InputSeed,ReductionReason,DataOrigin
V0011,EC-003,V0011,true,b20067859b751c816c7c28127f3fb1ed15847304df192968caa9f10bccf9aa57,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION"",""message_alias"":""PDU-A"",""perturbation"":""REPLACE_TRUNCATED_MAC_WITH_ZERO"",""requirement_id"":""REQ-MAC-FORGERY-REJECTION"",""scenario"":""全零认证器伪造"",""state_before"":""SYNC"",""vector_type"":""TAMPER""}",PDU-A,全零认证器伪造,SYNC,TAMPER,REPLACE_TRUNCATED_MAC_WITH_ZERO,47c95dd4fc3ad73a,REQ-MAC-FORGERY-REJECTION,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION,20261112,lowest VectorId retained as deterministic representative,derived_from_disclosed_candidate_vectors
V0012,EC-003,V0011,false,b20067859b751c816c7c28127f3fb1ed15847304df192968caa9f10bccf9aa57,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION"",""message_alias"":""PDU-A"",""perturbation"":""REPLACE_TRUNCATED_MAC_WITH_ZERO"",""requirement_id"":""REQ-MAC-FORGERY-REJECTION"",""scenario"":""全零认证器伪造"",""state_before"":""SYNC"",""vector_type"":""TAMPER""}",PDU-A,全零认证器伪造,SYNC,TAMPER,REPLACE_TRUNCATED_MAC_WITH_ZERO,47c95dd4fc3ad73a,REQ-MAC-FORGERY-REJECTION,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION,20261113,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0013,EC-003,V0011,false,b20067859b751c816c7c28127f3fb1ed15847304df192968caa9f10bccf9aa57,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION"",""message_alias"":""PDU-A"",""perturbation"":""REPLACE_TRUNCATED_MAC_WITH_ZERO"",""requirement_id"":""REQ-MAC-FORGERY-REJECTION"",""scenario"":""全零认证器伪造"",""state_before"":""SYNC"",""vector_type"":""TAMPER""}",PDU-A,全零认证器伪造,SYNC,TAMPER,REPLACE_TRUNCATED_MAC_WITH_ZERO,47c95dd4fc3ad73a,REQ-MAC-FORGERY-REJECTION,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION,20261114,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0014,EC-003,V0011,false,b20067859b751c816c7c28127f3fb1ed15847304df192968caa9f10bccf9aa57,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION"",""message_alias"":""PDU-A"",""perturbation"":""REPLACE_TRUNCATED_MAC_WITH_ZERO"",""requirement_id"":""REQ-MAC-FORGERY-REJECTION"",""scenario"":""全零认证器伪造"",""state_before"":""SYNC"",""vector_type"":""TAMPER""}",PDU-A,全零认证器伪造,SYNC,TAMPER,REPLACE_TRUNCATED_MAC_WITH_ZERO,47c95dd4fc3ad73a,REQ-MAC-FORGERY-REJECTION,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION,20261115,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0015,EC-003,V0011,false,b20067859b751c816c7c28127f3fb1ed15847304df192968caa9f10bccf9aa57,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION"",""message_alias"":""PDU-A"",""perturbation"":""REPLACE_TRUNCATED_MAC_WITH_ZERO"",""requirement_id"":""REQ-MAC-FORGERY-REJECTION"",""scenario"":""全零认证器伪造"",""state_before"":""SYNC"",""vector_type"":""TAMPER""}",PDU-A,全零认证器伪造,SYNC,TAMPER,REPLACE_TRUNCATED_MAC_WITH_ZERO,47c95dd4fc3ad73a,REQ-MAC-FORGERY-REJECTION,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION,20261116,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0016,EC-004,V0016,true,085a6c2275a6dc383bc5421c4f82eca2ab4bfc1861a3e542fa207b82f0eed89b,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION"",""message_alias"":""PDU-A"",""perturbation"":""REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU"",""requirement_id"":""REQ-FRESHNESS-REPLAY-REJECTION"",""scenario"":""已接收报文重放"",""state_before"":""SYNC"",""vector_type"":""REPLAY""}",PDU-A,已接收报文重放,SYNC,REPLAY,REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU,47c95dd4fc3ad73a,REQ-FRESHNESS-REPLAY-REJECTION,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION,20261212,lowest VectorId retained as deterministic representative,derived_from_disclosed_candidate_vectors
V0017,EC-004,V0016,false,085a6c2275a6dc383bc5421c4f82eca2ab4bfc1861a3e542fa207b82f0eed89b,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION"",""message_alias"":""PDU-A"",""perturbation"":""REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU"",""requirement_id"":""REQ-FRESHNESS-REPLAY-REJECTION"",""scenario"":""已接收报文重放"",""state_before"":""SYNC"",""vector_type"":""REPLAY""}",PDU-A,已接收报文重放,SYNC,REPLAY,REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU,47c95dd4fc3ad73a,REQ-FRESHNESS-REPLAY-REJECTION,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION,20261213,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0018,EC-004,V0016,false,085a6c2275a6dc383bc5421c4f82eca2ab4bfc1861a3e542fa207b82f0eed89b,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION"",""message_alias"":""PDU-A"",""perturbation"":""REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU"",""requirement_id"":""REQ-FRESHNESS-REPLAY-REJECTION"",""scenario"":""已接收报文重放"",""state_before"":""SYNC"",""vector_type"":""REPLAY""}",PDU-A,已接收报文重放,SYNC,REPLAY,REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU,47c95dd4fc3ad73a,REQ-FRESHNESS-REPLAY-REJECTION,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION,20261214,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0019,EC-004,V0016,false,085a6c2275a6dc383bc5421c4f82eca2ab4bfc1861a3e542fa207b82f0eed89b,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION"",""message_alias"":""PDU-A"",""perturbation"":""REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU"",""requirement_id"":""REQ-FRESHNESS-REPLAY-REJECTION"",""scenario"":""已接收报文重放"",""state_before"":""SYNC"",""vector_type"":""REPLAY""}",PDU-A,已接收报文重放,SYNC,REPLAY,REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU,47c95dd4fc3ad73a,REQ-FRESHNESS-REPLAY-REJECTION,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION,20261215,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0020,EC-004,V0016,false,085a6c2275a6dc383bc5421c4f82eca2ab4bfc1861a3e542fa207b82f0eed89b,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION"",""message_alias"":""PDU-A"",""perturbation"":""REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU"",""requirement_id"":""REQ-FRESHNESS-REPLAY-REJECTION"",""scenario"":""已接收报文重放"",""state_before"":""SYNC"",""vector_type"":""REPLAY""}",PDU-A,已接收报文重放,SYNC,REPLAY,REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU,47c95dd4fc3ad73a,REQ-FRESHNESS-REPLAY-REJECTION,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION,20261216,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0021,EC-005,V0021,true,cf67af23d5eaf1aac391cbd6bad9bc346f3bee44e9bfdc88dcc8cc32d63936c0,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING"",""message_alias"":""PDU-A"",""perturbation"":""AUTHENTICATED_POST_ROLLOVER_LOW_FV_5"",""requirement_id"":""REQ-ROLLOVER-GATING"",""scenario"":""严格策略下FV回绕候选"",""state_before"":""ROLLOVER_PENDING"",""vector_type"":""BOUNDARY_OUT""}",PDU-A,严格策略下FV回绕候选,ROLLOVER_PENDING,BOUNDARY_OUT,AUTHENTICATED_POST_ROLLOVER_LOW_FV_5,47c95dd4fc3ad73a,REQ-ROLLOVER-GATING,MESSAGE:PDU-A|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING,20261312,lowest VectorId retained as deterministic representative,derived_from_disclosed_candidate_vectors
V0022,EC-005,V0021,false,cf67af23d5eaf1aac391cbd6bad9bc346f3bee44e9bfdc88dcc8cc32d63936c0,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING"",""message_alias"":""PDU-A"",""perturbation"":""AUTHENTICATED_POST_ROLLOVER_LOW_FV_5"",""requirement_id"":""REQ-ROLLOVER-GATING"",""scenario"":""严格策略下FV回绕候选"",""state_before"":""ROLLOVER_PENDING"",""vector_type"":""BOUNDARY_OUT""}",PDU-A,严格策略下FV回绕候选,ROLLOVER_PENDING,BOUNDARY_OUT,AUTHENTICATED_POST_ROLLOVER_LOW_FV_5,47c95dd4fc3ad73a,REQ-ROLLOVER-GATING,MESSAGE:PDU-A|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING,20261313,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0023,EC-005,V0021,false,cf67af23d5eaf1aac391cbd6bad9bc346f3bee44e9bfdc88dcc8cc32d63936c0,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING"",""message_alias"":""PDU-A"",""perturbation"":""AUTHENTICATED_POST_ROLLOVER_LOW_FV_5"",""requirement_id"":""REQ-ROLLOVER-GATING"",""scenario"":""严格策略下FV回绕候选"",""state_before"":""ROLLOVER_PENDING"",""vector_type"":""BOUNDARY_OUT""}",PDU-A,严格策略下FV回绕候选,ROLLOVER_PENDING,BOUNDARY_OUT,AUTHENTICATED_POST_ROLLOVER_LOW_FV_5,47c95dd4fc3ad73a,REQ-ROLLOVER-GATING,MESSAGE:PDU-A|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING,20261314,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0024,EC-005,V0021,false,cf67af23d5eaf1aac391cbd6bad9bc346f3bee44e9bfdc88dcc8cc32d63936c0,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING"",""message_alias"":""PDU-A"",""perturbation"":""AUTHENTICATED_POST_ROLLOVER_LOW_FV_5"",""requirement_id"":""REQ-ROLLOVER-GATING"",""scenario"":""严格策略下FV回绕候选"",""state_before"":""ROLLOVER_PENDING"",""vector_type"":""BOUNDARY_OUT""}",PDU-A,严格策略下FV回绕候选,ROLLOVER_PENDING,BOUNDARY_OUT,AUTHENTICATED_POST_ROLLOVER_LOW_FV_5,47c95dd4fc3ad73a,REQ-ROLLOVER-GATING,MESSAGE:PDU-A|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING,20261315,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0025,EC-005,V0021,false,cf67af23d5eaf1aac391cbd6bad9bc346f3bee44e9bfdc88dcc8cc32d63936c0,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING"",""message_alias"":""PDU-A"",""perturbation"":""AUTHENTICATED_POST_ROLLOVER_LOW_FV_5"",""requirement_id"":""REQ-ROLLOVER-GATING"",""scenario"":""严格策略下FV回绕候选"",""state_before"":""ROLLOVER_PENDING"",""vector_type"":""BOUNDARY_OUT""}",PDU-A,严格策略下FV回绕候选,ROLLOVER_PENDING,BOUNDARY_OUT,AUTHENTICATED_POST_ROLLOVER_LOW_FV_5,47c95dd4fc3ad73a,REQ-ROLLOVER-GATING,MESSAGE:PDU-A|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING,20261316,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0026,EC-006,V0026,true,c45f62a521f65e2dd764d8ab7510a6f4bdd035e1ab19dc95f57e5382821f31a6,"{""config_hash"":""9eed31c538ea306b"",""coverage_obligations"":""MESSAGE:PDU-B|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY"",""message_alias"":""PDU-B"",""perturbation"":""NONE"",""requirement_id"":""REQ-VALID-DELIVERY"",""scenario"":""合法基准通信"",""state_before"":""SYNC"",""vector_type"":""VALID""}",PDU-B,合法基准通信,SYNC,VALID,NONE,9eed31c538ea306b,REQ-VALID-DELIVERY,MESSAGE:PDU-B|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY,20270912,lowest VectorId retained as deterministic representative,derived_from_disclosed_candidate_vectors
V0027,EC-006,V0026,false,c45f62a521f65e2dd764d8ab7510a6f4bdd035e1ab19dc95f57e5382821f31a6,"{""config_hash"":""9eed31c538ea306b"",""coverage_obligations"":""MESSAGE:PDU-B|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY"",""message_alias"":""PDU-B"",""perturbation"":""NONE"",""requirement_id"":""REQ-VALID-DELIVERY"",""scenario"":""合法基准通信"",""state_before"":""SYNC"",""vector_type"":""VALID""}",PDU-B,合法基准通信,SYNC,VALID,NONE,9eed31c538ea306b,REQ-VALID-DELIVERY,MESSAGE:PDU-B|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY,20270913,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
